Country,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region,Lat,Long
Belgium,Europe,11594739,71158,,9859,,17661,,43638,61,6137,850,1767120,152407,Europe,50.8333,4.469936
Belize,North America,398312,86,,2,,31,,53,2,216,5,3679,9236,Americas,17.189877,-88.49765
Benin,Africa,12151976,1936,,38,,1600,,298,1,159,3,93677,7709,Africa,9.3077,2.3158
Bermuda,North America,62254,157,,9,,144,,4,,2522,145,26352,423298,Americas,32.321384,-64.75737
Bhutan,Asia,772443,105,,,,93,,12,,136,,54589,70671,South-EastAsia,27.5142,90.4336
Bolivia,South America,11688459,86423,1282,3465,80,27373,936,55585,71,7394,296,183583,15706,Americas,-16.2902,-63.5887
Bosnia and Herzegovina,Europe,3278650,13396,,384,,7042,,5970,,4086,117,147021,44842,Europe,43.9159,17.6791
Botswana,Africa,2356075,804,,2,,63,,739,1,341,0.8,68423,29041,Africa,-22.328474,24.684866
Brazil,South America,212710692,2917562,,98644,,2047660,,771258,8318,13716,464,13206188,62085,Americas,-14.235,-51.9253
Brunei ,Asia,437893,141,,3,,138,,0,,322,7,41148,93968,,4.5353,114.7277
Bulgaria,Europe,6942854,13014,,435,,7374,,5205,47,1874,63,294087,42358,Europe,42.7339,25.4858
Burkina Faso,Africa,20954852,1158,,54,,961,,143,,55,3,,,Africa,12.2383,-1.5616
Burundi,Africa,11922216,395,,1,,304,,90,,33,0.08,15614,1310,Africa,-3.373056,29.918886
Cabo Verde,Africa,556581,2734,,27,,2010,,697,,4912,49,61633,110735,Africa,16.5388,-23.0418
Cambodia,Asia,16741375,243,,,,210,,33,1,15,,67807,4050,WesternPacific,11.55,104.9167
Cameroon,Africa,26606188,17718,,391,,15320,,2007,30,666,15,149000,5600,Africa,3.848,11.5021
Canada,North America,37775022,118561,,8966,,103106,,6489,2263,3139,237,4319172,114339,Americas,53.9333,-116.5765
CAR,Africa,4837752,4620,,59,,1641,,2920,2,955,12,29589,6116,,6.6111,20.9394
Cayman Islands,North America,65798,203,,1,,202,,0,,3085,15,31108,472780,,19.513469,-80.566956
Chad,Africa,16467965,942,,76,,838,,28,,57,5,,,Africa,15.4542,18.7322
Channel Islands,Europe,174022,597,,47,,533,,17,,3431,270,30721,176535,,-10.447525,105.690449
Chile,South America,19132514,366671,,9889,,340168,,16614,1358,19165,517,1760615,92022,Americas,-35.6751,-71.543
Colombia,South America,50936262,357710,,11939,,192355,,153416,1493,7023,234,1801835,35374,Americas,4.5709,-74.2973
Comoros,Africa,871326,396,,7,,340,,49,,454,8,,,Africa,-11.875001,43.872219
